PC;Name;Surname;BirthDate;AccountID
RPEZFP37R21A013O;giuseppe;roberti;1981-03-11;332
LFLQYL81M25L059Z;alessia;mesa;1978-04-09;656
VZFSWM59L01B869R;roberta;tissoni;1991-02-09;678
HJRGPF33H24A848Y;maria;wu;2002-08-23;876
PFMKQH87D51D856Z;giulia;ster;1996-12-02;544
QXPDGC79T24H825O;maria;itto;1995-11-07;555
TMNGMF49C66D010V;marta;reli;1982-12-06;783
RZNMGK33P56C484V;giulio;barella;1934-01-05;676
WHBCWS98R59A108X;roberto;koss;1963-10-06;878
THXHMD53A30I981C;maya;bailey;2003-05-12;122
CLRQHB75P26I054T;sage;morgan;2001-12-07;458
